stock_code,product_role,evidence_description,evidence_rows_before_cutoff,decision_reason
22170,merchandise,PICTURE FRAME WOOD TRIPLE PORTRAIT,579,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22171,merchandise,3 HOOK PHOTO SHELF ANTIQUE WHITE,664,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22172,merchandise,METAL SHELF WITH RAIL,186,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22173,merchandise,METAL 4 HOOK HANGER FRENCH CHATEAU,1015,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22174,merchandise,PHOTO CUBE,587,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22175,merchandise,PINK OWL SOFT TOY,372,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22176,merchandise,BLUE OWL SOFT TOY,270,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22177,merchandise,5 HOOK BLACKBOARD ORGANISER,126,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22178,merchandise,VICTORIAN GLASS HANGING T-LIGHT,1847,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22179,merchandise,SET 10 LIGHTS NIGHT OWL,415,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22180,merchandise,RETROSPOT LAMP,225,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22181,merchandise,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,146,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22182,merchandise,CAKE STAND VICTORIAN FILIGREE SMALL,175,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22183,merchandise,CAKE STAND VICTORIAN FILIGREE MED,220,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22184,merchandise,CAKE STAND VICTORIAN FILIGREE LARGE,154,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22185,merchandise,SLATE TILE NATURAL HANGING,460,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22186,merchandise,RED STAR CARD HOLDER,350,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22187,merchandise,GREEN CHRISTMAS TREE CARD HOLDER,376,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22188,merchandise,BLACK HEART CARD HOLDER,574,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22189,merchandise,CREAM HEART CARD HOLDER,1316,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22190,merchandise,LOCAL CAFE MUG,245,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22191,merchandise,IVORY DINER WALL CLOCK,512,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22192,merchandise,BLUE DINER WALL CLOCK,545,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22193,merchandise,RED DINER WALL CLOCK,621,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22194,merchandise,BLACK DINER WALL CLOCK,163,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22195,merchandise,LARGE HEART MEASURING SPOONS,826,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22196,merchandise,SMALL HEART MEASURING SPOONS,1022,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22197,merchandise,SMALL POPCORN HOLDER,1504,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22198,merchandise,LARGE POPCORN HOLDER,599,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22199,merchandise,FRYING PAN RED RETROSPOT,206,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22200,merchandise,FRYING PAN PINK POLKADOT,350,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22201,merchandise,FRYING PAN BLUE POLKADOT,158,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22202,merchandise,MILK PAN PINK RETROSPOT,189,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22203,merchandise,MILK PAN RED RETROSPOT,387,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22204,merchandise,MILK PAN BLUE POLKADOT,89,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22206,merchandise,"MUG , DOTCOMGIFTSHOP.COM",10,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22207,merchandise,FRYING PAN UNION FLAG,484,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22208,merchandise,WOOD STAMP SET THANK YOU,440,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22209,merchandise,WOOD STAMP SET HAPPY BIRTHDAY,257,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22210,merchandise,WOOD STAMP SET BEST WISHES,290,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22211,merchandise,WOOD STAMP SET FLOWERS,292,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22212,merchandise,FOUR HOOK  WHITE LOVEBIRDS,855,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22213,unresolved,,0,No descriptive positive-purchase evidence before cutoff
22214,merchandise,CANDLE PLATE LACE WHITE,89,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22215,merchandise,CAKE STAND WHITE TWO TIER LACE,348,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22216,merchandise,T-LIGHT HOLDER WHITE LACE,114,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22217,merchandise,T-LIGHT HOLDER HANGING LACE,200,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22218,merchandise,CAKE STAND LACE WHITE,266,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22219,merchandise,LOVEBIRD HANGING DECORATION WHITE,1188,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22220,merchandise,CAKE STAND LOVEBIRD 2 TIER WHITE,256,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22221,merchandise,CAKE STAND LOVEBIRD 2 TIER PINK,153,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22222,merchandise,CAKE PLATE LOVEBIRD WHITE,404,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22223,merchandise,CAKE PLATE LOVEBIRD PINK,177,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22224,merchandise,WHITE LOVEBIRD LANTERN,410,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22227,merchandise,HANGING HEART MIRROR DECORATION,376,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22228,merchandise,BUNNY WOODEN PAINTED WITH BIRD,276,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22229,merchandise,BUNNY WOODEN PAINTED WITH FLOWER,187,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22230,merchandise,JIGSAW TREE WITH WATERING CAN,195,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22231,merchandise,JIGSAW TREE WITH BIRDHOUSE,306,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22232,merchandise,JIGSAW TOADSTOOLS 3 PIECE,151,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22233,merchandise,JIGSAW RABBIT AND BIRDHOUSE,164,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22236,merchandise,CAKE STAND 3 TIER MAGIC GARDEN,424,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22241,merchandise,GARLAND WOODEN HAPPY EASTER,474,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22242,merchandise,"HOOK, 5 HANGER , MAGIC TOADSTOOL",267,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22243,merchandise,5 HOOK HANGER RED MAGIC TOADSTOOL,230,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22244,merchandise,3 HOOK HANGER MAGIC GARDEN,235,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22245,merchandise,"HOOK, 1 HANGER ,MAGIC GARDEN",432,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22246,merchandise,"GARLAND, MAGIC GARDEN 1.8M",98,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22247,merchandise,BUNNY DECORATION MAGIC GARDEN,192,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22248,merchandise,DECORATION  PINK CHICK MAGIC GARDEN,181,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22249,merchandise,DECORATION WHITE CHICK MAGIC GARDEN,257,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22250,merchandise,DECORATION  BUTTERFLY  MAGIC GARDEN,266,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22251,merchandise,BIRDHOUSE DECORATION MAGIC GARDEN,304,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22252,merchandise,BIRDCAGE DECORATION TEALIGHT HOLDER,115,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22253,merchandise,6 CROCHET STRAWBERRIES,94,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22254,merchandise,FELT TOADSTOOL LARGE,150,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22255,merchandise,FELT TOADSTOOL  SMALL,150,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22256,merchandise,FELT FARM ANIMAL CHICKEN,130,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22257,merchandise,FELT FARM ANIMAL SHEEP,60,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22258,merchandise,FELT FARM ANIMAL RABBIT,136,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22259,merchandise,FELT FARM ANIMAL HEN,76,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22260,merchandise,FELT EGG COSY BLUE RABBIT,255,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22261,merchandise,FELT EGG COSY WHITE RABBIT,261,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22262,merchandise,FELT EGG COSY CHICKEN,331,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22263,merchandise,FELT EGG COSY LADYBIRD,110,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22264,merchandise,FELT FARM ANIMAL WHITE BUNNY,180,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22265,merchandise,EASTER DECORATION NATURAL CHICK,182,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22266,merchandise,EASTER DECORATION HANGING BUNNY,168,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22267,merchandise,EASTER DECORATION EGG BUNNY,120,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22268,merchandise,EASTER DECORATION SITTING BUNNY,167,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22269,merchandise,EGG CUP NATURAL CHICKEN,206,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22270,merchandise,HAPPY EASTER HANGING DECORATION,165,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22271,merchandise,FELTCRAFT DOLL ROSIE,830,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22272,merchandise,FELTCRAFT DOLL MARIA,317,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22273,merchandise,FELTCRAFT DOLL MOLLY,832,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22274,merchandise,FELTCRAFT DOLL EMILY,682,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22275,merchandise,WEEKEND BAG VINTAGE ROSE PAISLEY,323,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22276,merchandise,WASH BAG VINTAGE ROSE PAISLEY,389,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22277,merchandise,COSMETIC BAG VINTAGE ROSE PAISLEY,253,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22278,merchandise,OVERNIGHT BAG VINTAGE ROSE PAISLEY,398,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22279,merchandise,POCKET BAG BLUE PAISLEY RED SPOT,214,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22280,merchandise,POCKET BAG PINK PAISELY BROWN SPOT,162,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22281,merchandise,EASTER TREE YELLOW BIRDS,149,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22282,merchandise,12 EGG HOUSE PAINTED WOOD,217,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22283,merchandise,6 EGG HOUSE PAINTED WOOD,388,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22284,merchandise,HEN HOUSE DECORATION,312,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22285,merchandise,"DECORATION HEN ON NEST, HANGING",160,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22286,merchandise,"DECORATION , WOBBLY RABBIT , METAL",132,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22287,merchandise,"DECORATION , WOBBLY CHICKEN, METAL",81,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22288,merchandise,HANGING METAL RABBIT DECORATION,67,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22289,merchandise,"DECORATION , HANGING METAL CHICKEN",43,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22290,merchandise,STANDING METAL RABBIT WITH EGG,82,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22291,merchandise,"SPRING DEC , HANGING CHICK CREAM",147,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22292,merchandise,HANGING CHICK  YELLOW DECORATION,124,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22293,merchandise,HANGING CHICK GREEN DECORATION,134,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22294,merchandise,HEART FILIGREE DOVE  SMALL,926,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22295,merchandise,HEART FILIGREE DOVE LARGE,757,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22296,merchandise,HEART IVORY TRELLIS LARGE,882,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22297,merchandise,HEART IVORY TRELLIS SMALL,1020,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22299,merchandise,PIG KEYRING WITH LIGHT & SOUND,198,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22300,merchandise,COFFEE MUG DOG + BALL DESIGN,541,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22301,merchandise,COFFEE MUG CAT + BIRD DESIGN,660,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22302,merchandise,COFFEE MUG PEARS  DESIGN,392,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22303,merchandise,COFFEE MUG APPLES DESIGN,534,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22304,merchandise,COFFEE MUG BLUE PAISLEY DESIGN,174,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22305,merchandise,COFFEE MUG PINK PAISLEY DESIGN,147,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22306,merchandise,SILVER MUG BONE CHINA TREE OF LIFE,168,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22307,merchandise,GOLD MUG BONE CHINA TREE OF LIFE,122,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22308,merchandise,TEA COSY BLUE STRIPE,207,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22309,merchandise,TEA COSY RED  STRIPE,270,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22310,merchandise,IVORY KNITTED MUG COSY,177,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22311,merchandise,OFFICE MUG WARMER BLACK+SILVER,319,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22312,merchandise,OFFICE MUG WARMER POLKADOT,287,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22313,merchandise,OFFICE MUG WARMER PINK,138,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22314,merchandise,OFFICE MUG WARMER CHOC+BLUE,255,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22315,merchandise,200 RED + WHITE BENDY STRAWS,404,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22316,merchandise,200 BENDY SKULL STRAWS,122,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22317,merchandise,FIVE CATS HANGING DECORATION,172,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22318,merchandise,FIVE HEART HANGING DECORATION,405,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22319,merchandise,HAIRCLIPS FORTIES FABRIC ASSORTED,167,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22320,merchandise,BIRDS MOBILE VINTAGE DESIGN,179,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22321,merchandise,BIRD DECORATION RED RETROSPOT,172,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22322,merchandise,BIRD DECORATION GREEN POLKADOT,168,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22323,merchandise,PINK POLKADOT KIDS BAG,118,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22324,merchandise,BLUE POLKADOT KIDS BAG,152,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22325,merchandise,MOBILE VINTAGE HEARTS,230,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22326,merchandise,ROUND SNACK BOXES SET OF4 WOODLAND,1414,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22327,merchandise,ROUND SNACK BOXES SET OF 4 SKULLS,663,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22328,merchandise,ROUND SNACK BOXES SET OF 4 FRUITS,1196,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22329,merchandise,ROUND CONTAINER SET OF 5 RETROSPOT,614,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22330,merchandise,72 ROUND PINK DOILIES,22,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22331,merchandise,WOODLAND PARTY BAG + STICKER SET,444,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22332,merchandise,SKULLS PARTY BAG + STICKER SET,389,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22333,merchandise,RETROSPOT PARTY BAG + STICKER SET,425,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22334,merchandise,DINOSAUR PARTY BAG + STICKER SET,270,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22335,merchandise,HEART DECORATION PAINTED ZINC,529,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22336,merchandise,DOVE DECORATION PAINTED ZINC,233,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22337,merchandise,ANGEL DECORATION PAINTED ZINC,155,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22338,merchandise,STAR DECORATION PAINTED ZINC,255,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22339,merchandise,CHRISTMAS TREE PAINTED ZINC,156,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22340,merchandise,NOEL GARLAND PAINTED ZINC,174,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22341,merchandise,LOVE GARLAND PAINTED ZINC,244,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22342,merchandise,HOME GARLAND PAINTED ZINC,234,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22343,merchandise,PARTY PIZZA DISH RED RETROSPOT,144,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22344,merchandise,PARTY PIZZA DISH PINK POLKADOT,84,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22345,merchandise,PARTY PIZZA DISH BLUE POLKADOT,78,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22346,merchandise,PARTY PIZZA DISH GREEN POLKADOT,64,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22347,merchandise,PIZZA SLICE DISH,114,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22348,merchandise,TEA BAG PLATE RED RETROSPOT,508,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22349,merchandise,DOG BOWL CHASING BALL DESIGN,233,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22350,merchandise,ILLUSTRATED CAT BOWL,218,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22351,merchandise,DOTCOMGIFTSHOP TEA TOWEL,3,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22352,merchandise,LUNCH BOX WITH CUTLERY RETROSPOT,910,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22353,merchandise,LUNCH BOX WITH CUTLERY FAIRY CAKES,303,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22354,merchandise,RETROSPOT PADDED SEAT CUSHION,228,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22355,merchandise,CHARLOTTE BAG SUKI DESIGN,1424,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22356,merchandise,CHARLOTTE BAG PINK POLKADOT,923,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22357,merchandise,KINGS CHOICE BISCUIT TIN,460,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22358,merchandise,KINGS CHOICE TEA CADDY,620,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22359,merchandise,GLASS JAR KINGS CHOICE,201,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22360,merchandise,GLASS JAR ENGLISH CONFECTIONERY,434,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22361,merchandise,GLASS JAR DAISY FRESH COTTON WOOL,497,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22362,merchandise,GLASS JAR PEACOCK BATH SALTS,255,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22363,merchandise,GLASS JAR MARMALADE,168,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22364,merchandise,GLASS JAR DIGESTIVE BISCUITS,344,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22365,merchandise,DOORMAT RESPECTABLE HOUSE,324,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22366,merchandise,DOORMAT AIRMAIL,437,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22367,merchandise,CHILDRENS APRON SPACEBOY DESIGN,841,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22371,merchandise,AIRLINE BAG VINTAGE TOKYO 78,700,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22372,merchandise,AIRLINE BAG VINTAGE WORLD CHAMPION,291,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22374,merchandise,AIRLINE BAG VINTAGE JET SET RED,436,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22375,merchandise,AIRLINE BAG VINTAGE JET SET BROWN,293,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22376,merchandise,AIRLINE BAG VINTAGE JET SET WHITE,258,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22377,merchandise,BOTTLE BAG RETROSPOT,437,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22378,merchandise,WALL TIDY RETROSPOT,552,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22379,merchandise,RECYCLING BAG RETROSPOT,1597,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22380,merchandise,TOY TIDY SPACEBOY,701,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22381,merchandise,TOY TIDY PINK POLKADOT,597,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22382,merchandise,LUNCH BAG SPACEBOY DESIGN,2153,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22383,merchandise,LUNCH BAG SUKI  DESIGN,1352,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22384,merchandise,LUNCH BAG PINK POLKADOT,1311,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22385,merchandise,JUMBO BAG SPACEBOY DESIGN,1259,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22386,merchandise,JUMBO BAG PINK POLKADOT,1479,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22389,merchandise,PAPERWEIGHT SAVE THE PLANET,84,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22390,merchandise,PAPERWEIGHT CHILDHOOD MEMORIES,79,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22391,merchandise,PAPERWEIGHT HOME SWEET HOME,64,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22393,merchandise,PAPERWEIGHT VINTAGE COLLAGE,111,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22394,merchandise,PAPERWEIGHT KINGS CHOICE,54,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22395,merchandise,PAPERWEIGHT VINTAGE PAISLEY,48,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22396,merchandise,MAGNETS PACK OF 4 RETRO PHOTO,188,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
22398,merchandise,MAGNETS PACK OF 4 SWALLOWS,438,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
